episode_id,shot_id,selected_candidate,candidate_count,rejected_candidates,rejection_reason,formal_file,width,height,formal_sha256,preview_file,preview_sha256,manual_review
HC20260810-002,S01,base/HC20260810-002-v01-S01-candidate-c-v02-selected-source.png,4,_rejected/HC20260810-002-v01-S01-candidate-a-retired-object-drift.png|_rejected/HC20260810-002-v01-S01-candidate-b.png|_rejected/HC20260810-002-v01-S01-candidate-d-v02-rejected-source.png,候选C同一人物同一餐盒且左右饭菜位置数量和筷子类型一致并只改变动作节奏；旧A因左右食物餐具漂移淘汰，旧B节奏对照较弱，D版左右物件匹配与动作辨识度不及C,HC20260810-002-v01-S01-firstframe.png,1080,1920,c849d17c006db022a3b15a89897af3e5a301e54b21d30ce3d9e461b63d4b1c6e,storyboard_with_copy/HC20260810-002-v01-S01-storyboard-with-copy.png,bdc0420e692d8815c3f0bec52abee712bd1781e8e474bf64c53291848276a869,pass
HC20260810-002,S02,base/HC20260810-002-v01-S02-candidate-a.png,1,,,HC20260810-002-v01-S02-firstframe.png,1080,1920,e6059ff3ef10e7cd9c0e7c062ef7ed792f7575c37552ab42ea0013863b9e8dd4,storyboard_with_copy/HC20260810-002-v01-S02-storyboard-with-copy.png,dc6cb76d11e8ffaa2f9f8ff1b971b4ab044b0ea682870af30eddf7c79f5b2561,pass
HC20260810-002,S03,base/HC20260810-002-v01-S03-candidate-b.png,2,_rejected/HC20260810-002-v01-S03-candidate-a.png,入选版第一口动作与餐盒关系更清楚,HC20260810-002-v01-S03-firstframe.png,1080,1920,333ddb73f1db1e5874491469ea43911994fe92919c83e69a33440eab7f44d4b5,storyboard_with_copy/HC20260810-002-v01-S03-storyboard-with-copy.png,b61a878cb6eaa64fba85d498616bf2b64d582ed7c36b2c08842750c1d9679657,pass
HC20260810-002,S04,base/HC20260810-002-v01-S04-candidate-a.png,3,_rejected/HC20260810-002-v01-S04-candidate-b.png|_rejected/HC20260810-002-v01-S04-candidate-c.png,候选B仍触碰餐具且停下不够明确；候选C人物面部与锁定参考偏差较大,HC20260810-002-v01-S04-firstframe.png,1080,1920,262f918aa070df29b4ace913fb544b26baa7ce389d03dac8b18ee1055e082e5f,storyboard_with_copy/HC20260810-002-v01-S04-storyboard-with-copy.png,a3a18be253cd3bd2932f523a9ef0d5af28fb588f29eed701b7918812949b6966,pass
HC20260810-002,S05,base/HC20260810-002-v01-S05-candidate-a.png,2,_rejected/HC20260810-002-v01-S05-candidate-b.png,入选版侧景明确呈现回到办公位且双手离开键盘,HC20260810-002-v01-S05-firstframe.png,1080,1920,5b0959d59261470776f1fc05c7a232627f380d946e6e17bdce95c442568136f7,storyboard_with_copy/HC20260810-002-v01-S05-storyboard-with-copy.png,1ea286e56a37e134e755b6df368dfe68aecb6e631090a1d9062f306caefc31ad,pass
HC20260810-002,S06,base/HC20260810-002-v01-S06-candidate-b.png,2,_rejected/HC20260810-002-v01-S06-candidate-a.png,入选版双手在腿上且视线与餐盒的停顿关系更明确,HC20260810-002-v01-S06-firstframe.png,1080,1920,f21bf18c41201bcaf38a2e54fcf2fe397aa8b5a4f3e983fb6d4ca1d190a26464,storyboard_with_copy/HC20260810-002-v01-S06-storyboard-with-copy.png,0863491bcb5e24b45fafada51669fd87ade4ff63a2a98518516dd648035e10ba,pass
HC20260810-002,S07,base/HC20260810-002-v01-S07-candidate-a.png,2,_rejected/HC20260810-002-v01-S07-candidate-b.png,入选版餐具已平放在餐盒旁；淘汰版餐具仍在盒内,HC20260810-002-v01-S07-firstframe.png,1080,1920,aa06cd2a24c4e2c580eb1c1e4c9808b5bf68a8f2bcf057148e959dd4db1fe8ff,storyboard_with_copy/HC20260810-002-v01-S07-storyboard-with-copy.png,6766e8a2011a3af5507d1a1b8668f78c6c5c748bc495343b63c540fc16954fd0,pass
HC20260810-002,S08,base/HC20260810-002-v01-S08-candidate-a.png,1,,,HC20260810-002-v01-S08-firstframe.png,1080,1920,5458290eec7c0119317a116aba0ca67554220a8846ae6bbe2c3fee45d804af37,storyboard_with_copy/HC20260810-002-v01-S08-storyboard-with-copy.png,c5fe812a9a32e9665b7cebe60e92392f1b44a0b73df28018884694466fecedb7,pass
HC20260810-002,S09,base/HC20260810-002-v01-S09-candidate-b.png,2,_rejected/HC20260810-002-v01-S09-candidate-a.png,入选版单盘空椅更适合作为中性边界静物板,HC20260810-002-v01-S09-firstframe.png,1080,1920,a38c6d60bc0257428feb14fff2addc0943f59f04042c8dcde74370e682814023,storyboard_with_copy/HC20260810-002-v01-S09-storyboard-with-copy.png,2bad172923ee84605781e37ea5888381e05361aae7e25c9b70d76bde484bd193,pass
HC20260810-002,S10,base/HC20260810-002-v01-S10-candidate-b-v02.png,2,_rejected/HC20260810-002-v01-S10-candidate-a-retired-missing-pause.png,候选B由可编辑SVG确定性渲染为暖米白结束板与中央品牌深青绿双竖条暂停符号；旧A未显示暂停符号而淘汰,HC20260810-002-v01-S10-firstframe.png,1080,1920,c5e69bf794b63cd36ac941c0d08f35871ce9e8135e0b6540a7b44d4da7f28d23,storyboard_with_copy/HC20260810-002-v01-S10-storyboard-with-copy.png,e548215e963f6a12ab7d2f74b204d4c33116c56d81eee2b7a875bc9919f14dad,pass
