episode_id,shot_id,selected_candidate,candidate_count,rejected_candidates,rejection_reason,formal_file,width,height,formal_sha256,preview_file,preview_sha256,manual_review
HC20260810-001,S01,base/HC20260810-001-v01-S01-candidate-a.png,2,_rejected/HC20260810-001-v01-S01-candidate-b.png,入选版的眨眼与餐后停顿更易读,HC20260810-001-v01-S01-firstframe.png,1080,1920,b3c852ff963fd4abbfb187b6ba1d59fab1de01d83c2101125aac671a0e681394,storyboard_with_copy/HC20260810-001-v01-S01-storyboard-with-copy.png,8455ec5708a49ec178035d2c946f497aa2954b075f31776a060c5a81a481e59a,pass
HC20260810-001,S02,base/HC20260810-001-v01-S02-candidate-b.png,2,_rejected/HC20260810-001-v01-S02-candidate-a.png,入选版抬眼方向和窗光关系更明确,HC20260810-001-v01-S02-firstframe.png,1080,1920,3216d4be1eac7717e2d0eff24b6bc8926027ea58aacb2ec110e58772fe104870,storyboard_with_copy/HC20260810-001-v01-S02-storyboard-with-copy.png,191690cb2a4dae52471f6a2c8dd9360a8ac40e1bbd718470a76e0a4b2ac9c787,pass
HC20260810-001,S03,base/HC20260810-001-v01-S03-candidate-a.png,1,,,HC20260810-001-v01-S03-firstframe.png,1080,1920,0227b931e1253e161a2b4b67f21e34ff8875a4a0a3b58da3c1289be7b89efe58,storyboard_with_copy/HC20260810-001-v01-S03-storyboard-with-copy.png,f07a26f3293957bb7d883c6273c032a74a3c41a993fe0252820908abe170fd20,pass
HC20260810-001,S04,base/HC20260810-001-v01-S04-candidate-b.png,2,_rejected/HC20260810-001-v01-S04-candidate-a.png,入选版放下餐具动作和手部数量更清楚,HC20260810-001-v01-S04-firstframe.png,1080,1920,47a195c23d5317a9c78173621fa11f5f7216ba55e4edafc79d199cd1c45c436b,storyboard_with_copy/HC20260810-001-v01-S04-storyboard-with-copy.png,22c785e1ce08cd01eb52406fb6043f70c3283558a927101ffbe9b1fdb9b13a8b,pass; preview-safe-zone-remediated
HC20260810-001,S05,base/HC20260810-001-v01-S05-candidate-a.png,2,_rejected/HC20260810-001-v01-S05-candidate-b.png,入选版起身迈步方向更明确,HC20260810-001-v01-S05-firstframe.png,1080,1920,dff77f067c2c0efa0302617c9e39ab3086f96db7819bd1c6327ebbaa7444811d,storyboard_with_copy/HC20260810-001-v01-S05-storyboard-with-copy.png,a3f85dcec6e2b81bd52bc189811c5da1d8420e330112e02a927a2e83d1f906cd,pass; preview-safe-zone-remediated
HC20260810-001,S06,base/HC20260810-001-v01-S06-candidate-b.png,2,_rejected/HC20260810-001-v01-S06-candidate-a.png,入选版手机四角和纯黑屏占位更稳定,HC20260810-001-v01-S06-firstframe.png,1080,1920,fe7abb38c27bd634d9df083217496f8093a3fcb79575724365e58ca7aa7e2c8b,storyboard_with_copy/HC20260810-001-v01-S06-storyboard-with-copy.png,f51c013d9e790c1cb90ceec3300178f87686a50f41fae08be78d5936bf3935f3,pass
HC20260810-001,S07,base/HC20260810-001-v01-S07-candidate-b.png,2,_rejected/HC20260810-001-v01-S07-candidate-a.png,入选版放下手机后的停顿更易识别,HC20260810-001-v01-S07-firstframe.png,1080,1920,c398e1370f6237b6de9104aa0c42377c45e1e4275a4f544d1f1cf3a80cdd3c91,storyboard_with_copy/HC20260810-001-v01-S07-storyboard-with-copy.png,070e6dcea2fe57f5243bb00a6bfbe3ef111a2d407ff20f62c0b4e79ef52303f3,pass
HC20260810-001,S08,base/HC20260810-001-v01-S08-candidate-a.png,1,,,HC20260810-001-v01-S08-firstframe.png,1080,1920,082cc1c38ad7f81ebd982c68c9234daa744d35da476fb74ed521d8aeb75f70f1,storyboard_with_copy/HC20260810-001-v01-S08-storyboard-with-copy.png,e49d6c1ac1147b349646b8765b41864f209df8d914226ff09815794308c77d9a,pass
HC20260810-001,S09,base/HC20260810-001-v01-S09-candidate-b.png,2,_rejected/HC20260810-001-v01-S09-candidate-a.png,入选版放回钥匙与离开方向更安全清楚,HC20260810-001-v01-S09-firstframe.png,1080,1920,b51e031d10ddc622459079fa4df77b52fa9e48a813203a645834a8cd93d420ef,storyboard_with_copy/HC20260810-001-v01-S09-storyboard-with-copy.png,950135c5cef3cf1b42e2f46143e14824d4177c24496df7485ca093870e0e749e,pass; preview-safe-zone-remediated
HC20260810-001,S10,base/HC20260810-001-v01-S10-candidate-b.png,2,_rejected/HC20260810-001-v01-S10-candidate-a.png,淘汰版曲线形状近似数据图；入选版为纯品牌结束板,HC20260810-001-v01-S10-firstframe.png,1080,1920,a8f85b8463f4443994e585409aeda160aa3ede74725c0bd643bcc96979f2bae4,storyboard_with_copy/HC20260810-001-v01-S10-storyboard-with-copy.png,4c192dec28970210608cfe8c6c512db39aa4316d9d5cc2659b5a8345c9debb61,pass
