episode_id,shot_id,selected_candidate,candidate_count,independent_candidate_count,rejected_candidates,decision_record,formal_file,width,height,formal_sha256,preview_file,preview_sha256,documentation_status
HC20260810-010,S01,base/S01-candidate-B.png,2,2,_rejected/S01-candidate-A.png,2026-08-14逐图复核：无人确定性图形镜头，人物一致性与手部不适用；入选B为圆环内6个同色青绿块加圆环外1个鲑红块，重复与单一例外一眼可分，且完整位于9:16安全区。淘汰A把7个不同颜色块全部放在同一圆环内，产生多种类别且没有被隔离的例外。两图物件均为7个，未见文字、Logo、水印、纸笔本或医疗器械；B的结构最贴合叙事。,HC20260810-010-v01-S01-firstframe.png,1080,1920,fa3fc013426f3ca11f9fde3b943d91655d00a4fb4820dc329274f1b142424a7e,storyboard_with_copy/HC20260810-010-v01-S01-storyboard-with-copy.png,dc89cdc9f8f4d3b7c58bda3a3e8aa1fa2da3b660d7c59928853919ef0139fece,paths-hashes-and-candidate-visuals-verified
HC20260810-010,S02,base/S02-candidate-B.png,2,2,_rejected/S02-candidate-A.png,2026-08-14逐图复核：入选B的人物脸发服装符合参考，双脚稳定落地、双手自然握1部手机，坐姿放松且手机为唯一行动物件。淘汰A交叉双腿并增加1只杯子，手机更小，画面更像同时休息饮水，削弱“坐着看手机”的单一动作。两图手指/物件数量可辨，无文字、Logo、水印、纸笔本或医疗器械；两图只露手机背面，不能据此声称屏幕或手机比例合格，入选理由仅限动作和构图。,HC20260810-010-v01-S02-firstframe.png,1080,1920,594b0065fbbbbc7869e7aa31f758b04b83177a60323d1fca75b9a7a5c5cad0c1,storyboard_with_copy/HC20260810-010-v01-S02-storyboard-with-copy.png,eb2dcb536aeceb6551f5f0aecf9447e2715415e0f710a9466bd2d0a5868bab93,paths-hashes-and-candidate-visuals-verified; phone-back-only-limitation-disclosed
HC20260810-010,S03,base/S03-candidate-A.png,1,1,,historical qualitative selection/rejection reason not recorded in existing artifacts; no reason inferred during closeout,HC20260810-010-v01-S03-firstframe.png,1080,1920,5ec322b7b2feb1cec215a656a5acd514c10b1a2db569273f87971fc4d74464c0,storyboard_with_copy/HC20260810-010-v01-S03-storyboard-with-copy.png,36b177c0cae3ad52510f4b64c6a383c7a726045290a806e64adf55931ed8390a,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-010,S04,base/S04-candidate-A.png,2,2,_rejected/S04-candidate-B.png,2026-08-14逐图复核：入选A的人物脸发服装符合参考，以双手完整托住1只正面可见的餐盘并迈出一步，双脚和盘沿清楚，“收走一盘后离开一步”在缩略图上可辨。淘汰B为侧向行走，餐盘接近侧面且更小，主体偏侧，手持物与离桌动作不如A清楚。两图均为单人单盘，无多余肢体、文字、Logo、水印、纸笔本或医疗器械；A的全身与餐盘位于9:16安全区。,HC20260810-010-v01-S04-firstframe.png,1080,1920,8eec1b6dbbaa62c6f3d9109028124f9a93fbcd4d07ace5391b900ad9cb15ff78,storyboard_with_copy/HC20260810-010-v01-S04-storyboard-with-copy.png,fc13785c7a999adbf3ac9511c40385ff324c4937b8d50ba7c0e6560da0471e95,paths-hashes-and-candidate-visuals-verified
HC20260810-010,S05,base/S05-candidate-B.png,2,2,_rejected/S05-candidate-A.png,historical qualitative selection/rejection reason not recorded in existing artifacts; no reason inferred during closeout,HC20260810-010-v01-S05-firstframe.png,1080,1920,9d966931dde8e51774459f557e79c402888f9959826b4bc149bbd47ca1553d44,storyboard_with_copy/HC20260810-010-v01-S05-storyboard-with-copy.png,950066b3ce6a5050fad2d05056b58b31fed412e43a0d345d4b2b15f56393755c,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-010,S06,base/S06-candidate-A.png,1,1,,historical qualitative selection/rejection reason not recorded in existing artifacts; no reason inferred during closeout,HC20260810-010-v01-S06-firstframe.png,1080,1920,6132c3cf3daeb2404c80e5054de3efed11d42a840d5c5d10971923bd67e713ef,storyboard_with_copy/HC20260810-010-v01-S06-storyboard-with-copy.png,10f6cbf2192edc23071d53dc0a51c49859f52d2a8a8685683863976f27861871,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-010,S07,base/S07-candidate-A.png,1,1,,historical qualitative selection/rejection reason not recorded in existing artifacts; no reason inferred during closeout,HC20260810-010-v01-S07-firstframe.png,1080,1920,63898baefb20187b17e2a7c51e04f9673d689355ea521dc0d98b27495fec4fc2,storyboard_with_copy/HC20260810-010-v01-S07-storyboard-with-copy.png,6a64d4d2413ade77575c2fba89f2d922d8fb0c278fbf30b39bd00208df2bd944,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-010,S08,base/S08-candidate-A.png,2,2,_rejected/S08-candidate-B.png,historical qualitative selection/rejection reason not recorded in existing artifacts; no reason inferred during closeout,HC20260810-010-v01-S08-firstframe.png,1080,1920,8fa77c5df83c0d313e3a49bc9bfc634753a9fe6dc0bab6b68294ac53579c8d6e,storyboard_with_copy/HC20260810-010-v01-S08-storyboard-with-copy.png,be4787bf2257b5bd33b1b8508e0393095a8caa7fff7cc7c90dfc911757b27e03,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-010,S09,base/S09-candidate-A.png,1,1,,historical qualitative selection/rejection reason not recorded in existing artifacts; no reason inferred during closeout,HC20260810-010-v01-S09-firstframe.png,1080,1920,806b7b7abb78a053c2c3543c1e66a8475d7d81abacad7b05ff7ee436c76e031e,storyboard_with_copy/HC20260810-010-v01-S09-storyboard-with-copy.png,3a0c16b10accc4da30226eb2335d2c5102a25a7a3054c98d10d2857c2322dc63,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-010,S10,base/S10-candidate-A.png,1,1,,historical qualitative selection/rejection reason not recorded in existing artifacts; no reason inferred during closeout,HC20260810-010-v01-S10-firstframe.png,1080,1920,e77ea8650f7b03ed5dbf3b924fa356f9b056b6aaca65894f60c177d3b8ec13b1,storyboard_with_copy/HC20260810-010-v01-S10-storyboard-with-copy.png,2763d25c9aedeb1d12ef1512a86d5fa901b3ff29313123db8e2f8610f0061e91,paths-and-hashes-verified; historical-reason-not-asserted
