episode_id,shot_id,selected_candidate,candidate_count,independent_candidate_count,rejected_candidates,decision_record,formal_file,width,height,formal_sha256,preview_file,preview_sha256,documentation_status
HC20260810-007,S01,base/HC20260810-007-v01-S01-candidate-01-source.png,3,2,_rejected/HC20260810-007-v01-S01-rejected-candidate-02.png,rejected reason(s) recorded in filenames: candidate-02,HC20260810-007-v01-S01-firstframe.png,1080,1920,16ec5daff52082f399981e9e98d0986a5c055ecc54a3ac95af8968fedc787cf7,storyboard_with_copy/HC20260810-007-v01-S01-storyboard-with-copy.png,64968b8717a7fe5ce6a5742da1de2f46e86812abbe0fb1ec14dd1f2ba391c8b3,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-007,S02,base/HC20260810-007-v01-S02-candidate-02-source.png,3,2,_rejected/HC20260810-007-v01-S02-rejected-candidate-01.png,rejected reason(s) recorded in filenames: candidate-01,HC20260810-007-v01-S02-firstframe.png,1080,1920,03689ddc5d1c7b70f6d8d470a3f9cd6390be49e9cfe656594f01052be5f71f83,storyboard_with_copy/HC20260810-007-v01-S02-storyboard-with-copy.png,c074c496f056fd7da8755c2a057648efe0c88dd88d3a3d467957bad120313584,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-007,S03,base/HC20260810-007-v01-S03-candidate-01-source.png,3,2,_rejected/HC20260810-007-v01-S03-rejected-candidate-02.png,rejected reason(s) recorded in filenames: candidate-02,HC20260810-007-v01-S03-firstframe.png,1080,1920,2708995cb40bf82de0a015a0465d0be4561e520e8d85c672eb6ffcc04967826d,storyboard_with_copy/HC20260810-007-v01-S03-storyboard-with-copy.png,a1a468922843fb097e5141984e01a7867c14a2a3e5d63b90cfee52b6b7a5060f,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-007,S04,base/HC20260810-007-v01-S04-candidate-02-source.png,3,2,_rejected/HC20260810-007-v01-S04-rejected-candidate-01.png,rejected reason(s) recorded in filenames: candidate-01,HC20260810-007-v01-S04-firstframe.png,1080,1920,06b655be8f317a9cf70150074d0412d53fa7856f6c9852587d5f75a978467693,storyboard_with_copy/HC20260810-007-v01-S04-storyboard-with-copy.png,afc7aa48c3904057c3e9cd5e3a47044802d75794d267f0fa16ed554f025a8f8d,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-007,S05,base/HC20260810-007-v01-S05-candidate-02-source.png,3,2,_rejected/HC20260810-007-v01-S05-rejected-candidate-01.png,rejected reason(s) recorded in filenames: candidate-01,HC20260810-007-v01-S05-firstframe.png,1080,1920,4c6d64ae276c0099e7aeb07be81dff37d2670bec8955eb3bd97aa9b9c5aa661d,storyboard_with_copy/HC20260810-007-v01-S05-storyboard-with-copy.png,2321e41c484c02fc16e571a479791f0c7cbe629d61d6a121ef41dcf95f0c9bc0,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-007,S06,base/HC20260810-007-v01-S06-candidate-05-phone-audit-selected-source.png,7,5,"_rejected/HC20260810-007-v01-S06-rejected-candidate-02.png; _rejected/HC20260810-007-v01-S06-candidate-03-rejected-phone-ratio-2.20.png; _rejected/HC20260810-007-v01-S06-candidate-04-rejected-phone-ratio-2.24-camera-angle.png; _rejected/HC20260810-007-v01-S06-old-formal-rejected-phone-ratio-2.33.png","Phone-audit candidate-05 selected: over-shoulder, screen near-front-on, visible outer ratio about 2.09, solid deep-gray screen and fingertip outside central 70%; 7 evidence paths represent 5 independently generated sources because rejected-candidate-02 mirrors candidate-02-source and old-formal is an archive",HC20260810-007-v01-S06-firstframe.png,1080,1920,57ec7fd4f7f4d9dc9a1c5ab226cba8832a982f971179b2f769cbf0659d331b05,storyboard_with_copy/HC20260810-007-v01-S06-storyboard-with-copy.png,3571a68155cfe0b54cd7694346b4cfd5af336cb8068b6516869ab7747823c1ab,phone-audit-repaired; 5-independent-generated-sources; paths-and-hashes-verified
HC20260810-007,S07,base/HC20260810-007-v01-S07-candidate-02-source.png,3,2,_rejected/HC20260810-007-v01-S07-rejected-candidate-01.png,rejected reason(s) recorded in filenames: candidate-01,HC20260810-007-v01-S07-firstframe.png,1080,1920,4911caa0c6d9fc7389d81091ee5212e6bee31369a1f4b13f8eb88a205b480d56,storyboard_with_copy/HC20260810-007-v01-S07-storyboard-with-copy.png,98c916d546a2f49cccff6877eb31a85dd10b34d7b98909760f283ba3f733c579,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-007,S08,base/HC20260810-007-v01-S08-candidate-01-source.png,1,1,,selected path reconstructed from base versus mirrored _rejected bytes; no historical qualitative reason asserted,HC20260810-007-v01-S08-firstframe.png,1080,1920,2bf5d72920dfacf14e7b8d17e7d8eee7685accb8872894765f3f6aefc75fe73e,storyboard_with_copy/HC20260810-007-v01-S08-storyboard-with-copy.png,63e968a92f08ff1f4280dccddfa81ed3bec5102e620bc74840f119606e7d63a8,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-007,S09,base/HC20260810-007-v01-S09-candidate-02-source.png,3,2,_rejected/HC20260810-007-v01-S09-rejected-candidate-01.png,rejected reason(s) recorded in filenames: candidate-01,HC20260810-007-v01-S09-firstframe.png,1080,1920,c487d88970416e894fb900afba52dc81f73564480cecd80bc01847c457e1413d,storyboard_with_copy/HC20260810-007-v01-S09-storyboard-with-copy.png,3693108977c8ffcd713c72c6fd954ed03c32cfd5fed4b0a343841927a6eae3f6,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-007,S10,base/HC20260810-007-v01-S10-candidate-02-source.png,3,2,_rejected/HC20260810-007-v01-S10-rejected-candidate-01.png,rejected reason(s) recorded in filenames: candidate-01,HC20260810-007-v01-S10-firstframe.png,1080,1920,bdf5b8d7459aa4c8011c3b0993fae9f1510f8f8b53888e739adc7f18d70e9d59,storyboard_with_copy/HC20260810-007-v01-S10-storyboard-with-copy.png,c6311ca918d3dc876e6b3e5f8695b12939a00ca73d507275d02fc32a61162f0d,paths-and-hashes-verified; historical-reason-not-asserted
