"episode_id","shot_id","selected_candidate","candidate_count","independent_candidate_count","rejected_candidates","decision_record","formal_file","width","height","formal_sha256","preview_file","preview_sha256","documentation_status"
"HC20260810-009","S01","base/HC20260810-009-v01-S01-candidate-01-source.png","2","2","_rejected/HC20260810-009-v01-S01-candidate-02-source.png","2026-08-14原分辨率逐图复核：入选01的人物脸发与米色开衫/蓝色上衣符合参考，近景让脸、双手、1个键盘和1台纯深色显示器清楚可辨，“卡在屏幕前还没开始”在缩略图仍成立；淘汰02为更宽景，人物、手与输入设备更小，单一动作和安全区可读性较弱。两图手/物数量连贯，未见文字、Logo、水印、纸笔本、手机UI或医疗器械。","HC20260810-009-v01-S01-firstframe.png","1080","1920","a7478087be87307fb311fdf9c9cf38b2ca0edd390c7855b5f255def244be9f29","storyboard_with_copy/HC20260810-009-v01-S01-storyboard-with-copy.png","91d03d03b1dc4067bfaaffd0997c948610a694ef06dda0b6e9d043bfae69e423","paths-and-hashes-verified; candidate-visuals-verified"
"HC20260810-009","S02","base/HC20260810-009-v01-S02-candidate-01-source.png","1","1","","historical qualitative selection/rejection reason not recorded in existing artifacts; no reason inferred during closeout","HC20260810-009-v01-S02-firstframe.png","1080","1920","c3dd0d51f8c94117ab0a3edf1d83f5a3de52b2f0f17ef7cb2a4742ae4448361c","storyboard_with_copy/HC20260810-009-v01-S02-storyboard-with-copy.png","29cf3a0ee18209b68883eeb456c42632ce862af39879caa800107b8512034db5","paths-and-hashes-verified; historical-reason-not-asserted"
"HC20260810-009","S03","base/HC20260810-009-v01-S03-candidate-02-source.png","2","2","_rejected/HC20260810-009-v01-S03-candidate-01-source.png","2026-08-14原分辨率逐图复核：入选02的人物脸发服装符合参考，目光正对1台纯色空屏，右手明确落在触控板上，屏幕保留后续“拖小任务块”的动画空间；淘汰01的目光转向镜头，触控板上的手指更像指点而非开始拖动，动作含义较弱。两图可见手部与键鼠关系自然，未见文字、Logo、水印、纸笔本、手机UI或医疗器械，关键动作处于9:16安全区。","HC20260810-009-v01-S03-firstframe.png","1080","1920","86fc24aa09c3af1a6f29257659c3da062814161bfd49dd1289dee85b130eef6e","storyboard_with_copy/HC20260810-009-v01-S03-storyboard-with-copy.png","c00a430a9d205b8137dbf0e858f862f269f748f6263d64746c3e44fc35403ad7","paths-and-hashes-verified; candidate-visuals-verified"
"HC20260810-009","S04","base/HC20260810-009-v01-S04-candidate-02-source.png","2","2","_rejected/HC20260810-009-v01-S04-candidate-01-source.png","2026-08-14原分辨率逐图复核：入选02的人物脸发服装符合参考，躯干直立且双手已明显离开工作台并自然放低，“停止工作后坐直”是单一清楚动作；淘汰01的双手仍悬在桌缘附近，更像尚未完成的工作手势。两图肢体与桌面物件数量连贯，未见文字、Logo、水印、纸笔本、手机UI或医疗器械；入选图身体比例与9:16动作安全区稳定。","HC20260810-009-v01-S04-firstframe.png","1080","1920","1b607d4b6c9f4d2fe3d9f9f3a4e5bac70d9b76738ec25fd922a7c4bfdce5d92a","storyboard_with_copy/HC20260810-009-v01-S04-storyboard-with-copy.png","9d400e9689280451db2fa0a0bd2e6de02dc63c0d03aac0c4949d3381418576e4","paths-and-hashes-verified; preview-safe-zone-remediated; candidate-visuals-verified"
"HC20260810-009","S05","base/HC20260810-009-v01-S05-candidate-02-source.png","2","2","_rejected/HC20260810-009-v01-S05-candidate-01-source.png","2026-08-14原分辨率逐图复核：入选02以更近的三分之四视角保留参考人物脸发服装，目光明确转向窗外，左右两手自然交叠于腿上，“看窗外片刻”清楚；淘汰01构图更宽，人物与双手更小且手部落在更低区域，动作在缩略图和安全区内不如入选图突出。两图肢体数量自然，未见文字、Logo、水印、纸笔本、手机UI或医疗器械。","HC20260810-009-v01-S05-firstframe.png","1080","1920","16602795c6cf4c78470b357a70d923d111655177e89e779ea7a46e4127eda738","storyboard_with_copy/HC20260810-009-v01-S05-storyboard-with-copy.png","c59780d63cfe799d55c06b58b8ff50ade3c36c7ed7ea7a6211174d256ef78795","paths-and-hashes-verified; candidate-visuals-verified"
"HC20260810-009","S06","base/HC20260810-009-v01-S06-candidate-01-source.png","2","2","_rejected/HC20260810-009-v01-S06-candidate-02-source.png","2026-08-14原分辨率逐图复核：入选01的人物侧脸与服装符合参考，双手完整地从1个键盘上方撤离，镜头在动画前就能读出“手离开键盘”；淘汰02采用后侧视角，人物和双手更小，撤离动作较难辨。两图手指、键盘和显示器数量连贯，未见文字、Logo、水印、纸笔本、手机UI或医疗器械，入选图关键手势在9:16安全区。","HC20260810-009-v01-S06-firstframe.png","1080","1920","f90c94131ea232d5ef63d6a80f82fba8c628440a40827131bb28e6925b2d622f","storyboard_with_copy/HC20260810-009-v01-S06-storyboard-with-copy.png","e0f02fbd655171624bc49281259c2b1e1269189b3ff8b40f56cceb49b61e75a7","paths-and-hashes-verified; candidate-visuals-verified"
"HC20260810-009","S07","base/HC20260810-009-v01-S07-candidate-01-source.png","2","2","_rejected/HC20260810-009-v01-S07-candidate-02-source.png","historical qualitative selection/rejection reason not recorded in existing artifacts; no reason inferred during closeout","HC20260810-009-v01-S07-firstframe.png","1080","1920","f024a4eecb0aed79318f74d3f84ecfacd3ab1df7b9acc5e47beeb18484cb91ad","storyboard_with_copy/HC20260810-009-v01-S07-storyboard-with-copy.png","1ff7edc13f54d9147ea7795ef5f25849ce643de3668b68fd9909f800e0df287d","paths-and-hashes-verified; historical-reason-not-asserted"
"HC20260810-009","S08","base/HC20260810-009-v01-S08-candidate-01-source.png","1","1","","historical qualitative selection/rejection reason not recorded in existing artifacts; no reason inferred during closeout","HC20260810-009-v01-S08-firstframe.png","1080","1920","02814fc8681c0301fde040fe307a99767d8597c085a5f5f8583fd9a46ddcabd4","storyboard_with_copy/HC20260810-009-v01-S08-storyboard-with-copy.png","ee01dca71ef337bdf9b817a4f617ceb9f090cd2f6b91b6ebbe0aab4f2685a4a4","paths-and-hashes-verified; historical-reason-not-asserted"
"HC20260810-009","S09","base/HC20260810-009-v01-S09-candidate-01-source.png","2","2","_rejected/HC20260810-009-v01-S09-candidate-02-source.png","2026-08-14原分辨率逐图复核：入选01的人物脸发服装符合参考，双手在桌缘合拢并停止输入，目光转向窗外，1个键盘和1个鼠标仍清楚可见，能连接“停下输入→移开视线”；淘汰02的双手更低并受桌面遮挡，显示器占比更大，停止输入与看向窗外的因果较弱。两图肢体/物件数量自然，未见文字、Logo、水印、纸笔本、手机UI或医疗器械；入选图动作位于9:16安全区。","HC20260810-009-v01-S09-firstframe.png","1080","1920","02910c7d2ff8c6cc44f41d6c28693a6d86c5e31a697c76558262c6369020d144","storyboard_with_copy/HC20260810-009-v01-S09-storyboard-with-copy.png","a6c1175fca3c61264bd68350abffafa625c9d85c9dc63f996f9dc42739f1675b","paths-and-hashes-verified; preview-safe-zone-remediated; candidate-visuals-verified"
"HC20260810-009","S10","base/HC20260810-009-v01-S10-candidate-01-source.png","1","1","","historical qualitative selection/rejection reason not recorded in existing artifacts; no reason inferred during closeout","HC20260810-009-v01-S10-firstframe.png","1080","1920","58315c7deb5b976a3594bcc4864ad7b918bd7f76a756347e6c8b6a8db3490c21","storyboard_with_copy/HC20260810-009-v01-S10-storyboard-with-copy.png","28160f722fac557a0f9475f48be348aeecc825d08f1e03de5a113d71404b1e7c","paths-and-hashes-verified; historical-reason-not-asserted"
