shot,reuse_status,source_plan,candidate_min,high_risk_reason,frame_contract
S01,new,"imagegen + character-reference-v01.png; selected=base/HC20260810-006-v01-S01-candidate-c-phone-audit-selected-source.png; source_sha256=e8fdb036b55abee2ee468f5e7ac637d186c10022bdbaaf959525eda4ae81e8d3; formal_sha256=bb69eac4f625277a5b4cae88930d332d89fa665eaa2442d720a9b451a4989229",2,cover + visible hands + phone,"cream sofa phone-down/wake match; one complete unbranded phone; solid deep-teal screen; no generated UI/text"
S02,deterministic-board,imagegen text-free board,1,none,"four rounded phase blocks; text-free; no UI or medical graphics"
S03,new,imagegen + character-reference-v01.png,2,visible hands + phone,"adjust one cushion; black phone remains untouched on side table"
S04,new,imagegen + character-reference-v01.png,1,none,"side-profile resting pose; quiet cream bedroom; no props implying treatment"
S05,new,"imagegen + character-reference-v01.png; selected=base/HC20260810-006-v01-S05-candidate-c-phone-audit-selected-source.png; source_sha256=ff6464db11a9a1e4d39a98c610728db5e8fb509ea5dc9966a4ace5f4c192b8e1; formal_sha256=43e64290ae7dad7d101e4aeac18425c466d4f42df51b74dbb11c3c289b29b73d",2,visible hands + phone,"wake and look toward window; one phone lies flat and untouched on table; no stylus/second device/ghost"
S06,new,"imagegen + character-reference-v01.png; selected=base/HC20260810-006-v01-S06-candidate-h-phone-adjudication-selected-source.png; selected_sha256=524c31499a80ba096d14e8bf7b43d4e59d401f8e0493a895023607cd880a191c; lineage=former _rejected/HC20260810-006-v01-S06-candidate-edit01-rejected-non-screen-pixel-drift.png moved into base without duplicate bytes; formal_sha256=f5681f85197e05004527028eb3752087183ed0f3c3e29b8aa9930cb0dfbde5b8; prior_E_formal_archived_sha256=e0f097fefb3694fd730ecfcd4494d78132d5afa69fd237230838170c48de7657; P2-F-rejected_sha256=687f8a24155e161224d597bd030d42366329e5a7e732014abf409d6a1aef8069; P2-G-source_sha256=2143ce1530c48c9c6e869431ce6afef92539019ae64f633992f870ee25fb48f1; G-edit02-rejected_sha256=abd155b4d1233b7019fa3d0fcfd3cb78e45c937a95b08c45a4e63db3712d5bcd",2,phone + finger,"P2 CLOSED by independent original-resolution visual adjudication: outer approximately 2.05 and screen approximately 2.12, both within the accepted 2.05-2.15 range; complete corners and bezel; visually uniform deep-teal blank screen; fingertip outside the screen and central 70% clear. Whole-image resampling is not visible object/scene drift. H was aspect-fit without crop to 1080x1920, with one duplicated bottom edge row only to satisfy the exact canvas"
S07,safe-reuse,imagegen + character-reference-v01.png,2,car keys + tray,"feet flat; exactly one key fob and one metal key visible in tray"
S08,new,imagegen + character-reference-v01.png,2,phone + visible hands,"night bedroom; place one phone away; blank black display; single readable action"
S09,deterministic-board,imagegen + character-reference-v01.png,1,none,"three panels of the same person with subtle state variation; no diagnostic scale"
S10,deterministic-board,imagegen text-free board,1,none,"broad top-down footpath with exactly three separated markers; must not resemble a data curve"
