"episode_id","shot_id","formal_path","formal_sha256","width","height","preview_path","preview_sha256","pre_generation_asset_status","candidate_minimum","candidate_file_count","actual_independent_candidate_count","candidate_contract_status","selected_candidate_path","selected_candidate_sha256","rejected_candidate_paths","rejected_candidate_sha256s","action_clarity_qa","character_consistency_qa","hand_object_count_qa","safe_zone_qa","text_logo_watermark_qa","paper_pen_notebook_qa","medical_signal_qa","phone_ratio_qa","visual_risk_note","source_decision_record","source_inventory_path","source_episode_qa_path","layer_separation_status","status"
"HC20260810-001","S01","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S01-firstframe.png","b3c852ff963fd4abbfb187b6ba1d59fab1de01d83c2101125aac671a0e681394","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S01-storyboard-with-copy.png","8455ec5708a49ec178035d2c946f497aa2954b075f31776a060c5a81a481e59a","new","2","2","2","PASS","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/base/HC20260810-001-v01-S01-candidate-a.png","17b5de718619902ee4d0c156a6eabb79ce9ea04cd726f12d04578c5e511426d3","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/_rejected/HC20260810-001-v01-S01-candidate-b.png","f8ca299a9096be32c6a628924b1270091c5636ed00069fb65552cc21512fa876","PASS-25pct-contact-sheet","PASS-25pct-contact-sheet;fullres-final-review-pending","PASS-25pct-contact-sheet;exact-fullres-final-review-pending","PASS-copy-contained;subject-overlap-final-review-pending","PASS-25pct-no-obvious-formal-mark;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","N/A-no-phone","","入选版的眨眼与餐后停顿更易读","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review"
"HC20260810-001","S02","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S02-firstframe.png","3216d4be1eac7717e2d0eff24b6bc8926027ea58aacb2ec110e58772fe104870","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S02-storyboard-with-copy.png","191690cb2a4dae52471f6a2c8dd9360a8ac40e1bbd718470a76e0a4b2ac9c787","new","2","2","2","PASS","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/base/HC20260810-001-v01-S02-candidate-b.png","86c2ee7fc726865417f7918bed8ace895929307bc280920fc90fa516f2760f9f","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/_rejected/HC20260810-001-v01-S02-candidate-a.png","946102a544f0b4a4a4d30dbde650fe1edaaf7f5f56d3476eeb4f8c014706ff1d","PASS-25pct-contact-sheet","PASS-25pct-contact-sheet;fullres-final-review-pending","PASS-25pct-contact-sheet;exact-fullres-final-review-pending","PASS-copy-contained;subject-overlap-final-review-pending","PASS-25pct-no-obvious-formal-mark;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","N/A-no-phone","","入选版抬眼方向和窗光关系更明确","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review"
"HC20260810-001","S03","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S03-firstframe.png","0227b931e1253e161a2b4b67f21e34ff8875a4a0a3b58da3c1289be7b89efe58","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S03-storyboard-with-copy.png","f07a26f3293957bb7d883c6273c032a74a3c41a993fe0252820908abe170fd20","deterministic-board","1","1","1","PASS","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/base/HC20260810-001-v01-S03-candidate-a.png","f5cbb2e2002e4177eacc201845f172f00da4a2738f5fb146b8a8906d2a292eb0","","","PASS-25pct-contact-sheet","N/A-no-character","N/A-no-locked-hand-object-risk","PASS-copy-contained;subject-overlap-N/A","PASS-25pct-no-obvious-formal-mark;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","N/A-no-phone","","","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review"
"HC20260810-001","S04","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S04-firstframe.png","47a195c23d5317a9c78173621fa11f5f7216ba55e4edafc79d199cd1c45c436b","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S04-storyboard-with-copy.png","22c785e1ce08cd01eb52406fb6043f70c3283558a927101ffbe9b1fdb9b13a8b","new","2","2","2","PASS","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/base/HC20260810-001-v01-S04-candidate-b.png","34d2d413c592a8c10af2c268e9318ac42d4a637225161035c53e3652d658c3f1","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/_rejected/HC20260810-001-v01-S04-candidate-a.png","cb4a41814466271a35debba43cd6482e29370a67f9253566a3b3464db2a04221","PASS-25pct-contact-sheet","PASS-25pct-contact-sheet;fullres-final-review-pending","PASS-25pct-contact-sheet;exact-fullres-final-review-pending","PASS-remediated-preview-layout;copy-contained;subject-and-action-clear","PASS-25pct-no-obvious-formal-mark;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","N/A-no-phone","CLOSED-preview-safe-zone-2026-08-14: deterministic copy board repositioned; subject/action restored; formal image unchanged.","入选版放下餐具动作和手部数量更清楚","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review"
"HC20260810-001","S05","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S05-firstframe.png","dff77f067c2c0efa0302617c9e39ab3086f96db7819bd1c6327ebbaa7444811d","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S05-storyboard-with-copy.png","a3f85dcec6e2b81bd52bc189811c5da1d8420e330112e02a927a2e83d1f906cd","new","2","2","2","PASS","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/base/HC20260810-001-v01-S05-candidate-a.png","91a74794de6e047ededdcd0d1b77b1116519f5def58e3c781b283d23d7acafa8","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/_rejected/HC20260810-001-v01-S05-candidate-b.png","b91e93d2b6ea317b1d2c4f6f6a0438f5ca69d799cbc35cebefd790fa9520c46c","PASS-25pct-contact-sheet","PASS-25pct-contact-sheet;fullres-final-review-pending","PASS-25pct-contact-sheet;exact-fullres-final-review-pending","PASS-remediated-preview-layout;copy-contained;subject-and-action-clear","PASS-25pct-no-obvious-formal-mark;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","N/A-no-phone","CLOSED-preview-safe-zone-2026-08-14: deterministic copy board repositioned; subject/action restored; formal image unchanged.","入选版起身迈步方向更明确","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review"
"HC20260810-001","S06","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S06-firstframe.png","fe7abb38c27bd634d9df083217496f8093a3fcb79575724365e58ca7aa7e2c8b","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S06-storyboard-with-copy.png","f51c013d9e790c1cb90ceec3300178f87686a50f41fae08be78d5936bf3935f3","new","2","2","2","PASS","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/base/HC20260810-001-v01-S06-candidate-b.png","014ca2f78f98285aaec9af4608f71ca928e8496fb77dedf31e871084cf41b59e","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/_rejected/HC20260810-001-v01-S06-candidate-a.png","69a8154e0ffd06381e1e44ad341bf226b81e75fef994000c65343bcaddaeaf7e","PASS-25pct-contact-sheet","PASS-25pct-contact-sheet;fullres-final-review-pending","PASS-25pct-contact-sheet;exact-fullres-final-review-pending","PASS-copy-contained;subject-overlap-final-review-pending","PASS-25pct-no-obvious-formal-mark;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","PASS-fullres-phone-audit;outer-ratio~2.18-2.22-edge-with-perspective-tolerance;screen-track-upper-70pct-only","","入选版手机四角和纯黑屏占位更稳定","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review"
"HC20260810-001","S07","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S07-firstframe.png","c398e1370f6237b6de9104aa0c42377c45e1e4275a4f544d1f1cf3a80cdd3c91","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S07-storyboard-with-copy.png","070e6dcea2fe57f5243bb00a6bfbe3ef111a2d407ff20f62c0b4e79ef52303f3","new","2","2","2","PASS","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/base/HC20260810-001-v01-S07-candidate-b.png","ded8ab46babc97011672b30b2f252bafe52c7b09a64b98464ae482042b4e7b4f","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/_rejected/HC20260810-001-v01-S07-candidate-a.png","3c2ad3bf997c1296c7f8268d4b4a356fbe3711130bbd10af7cc9710b1b429a39","PASS-25pct-contact-sheet","PASS-25pct-contact-sheet;fullres-final-review-pending","PASS-25pct-contact-sheet;exact-fullres-final-review-pending","PASS-copy-contained;subject-overlap-final-review-pending","PASS-25pct-no-obvious-formal-mark;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","PASS-fullres-phone-audit;static-prop-only;strong-perspective;no-screen-tracking","","入选版放下手机后的停顿更易识别","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review"
"HC20260810-001","S08","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S08-firstframe.png","082cc1c38ad7f81ebd982c68c9234daa744d35da476fb74ed521d8aeb75f70f1","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S08-storyboard-with-copy.png","e49d6c1ac1147b349646b8765b41864f209df8d914226ff09815794308c77d9a","deterministic-board","1","1","1","PASS","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/base/HC20260810-001-v01-S08-candidate-a.png","6e56246815ae123b688b7664bd74d648a1dcabc27ba6b2e302a228807723a5c6","","","PASS-25pct-contact-sheet","N/A-no-character","N/A-no-locked-hand-object-risk","PASS-copy-contained;subject-overlap-N/A","PASS-25pct-no-obvious-formal-mark;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","N/A-no-phone","","","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review"
"HC20260810-001","S09","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S09-firstframe.png","b51e031d10ddc622459079fa4df77b52fa9e48a813203a645834a8cd93d420ef","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S09-storyboard-with-copy.png","950135c5cef3cf1b42e2f46143e14824d4177c24496df7485ca093870e0e749e","new","2","2","2","PASS","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/base/HC20260810-001-v01-S09-candidate-b.png","f7cd93a3e51d0a6add6094de1e75ab861768501503fc67ca9ed679241c9423fe","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/_rejected/HC20260810-001-v01-S09-candidate-a.png","fe226475f5a2c1ab16b47a3a38d2a96f486503018fa106ac2a19cd16ec09359f","PASS-25pct-contact-sheet","PASS-25pct-contact-sheet;fullres-final-review-pending","PASS-25pct-contact-sheet;exact-fullres-final-review-pending","PASS-remediated-preview-layout;copy-contained;subject-and-action-clear","PASS-25pct-no-obvious-formal-mark;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","N/A-no-phone","CLOSED-preview-safe-zone-2026-08-14: deterministic copy board repositioned; subject/action restored; formal image unchanged.","入选版放回钥匙与离开方向更安全清楚","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review"
"HC20260810-001","S10","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S10-firstframe.png","a8f85b8463f4443994e585409aeda160aa3ede74725c0bd643bcc96979f2bae4","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S10-storyboard-with-copy.png","4c192dec28970210608cfe8c6c512db39aa4316d9d5cc2659b5a8345c9debb61","deterministic-board","1","2","2","PASS","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/base/HC20260810-001-v01-S10-candidate-b.png","07fbb7ffdd485668c7bff1ffec888b00c1567816a411b13b1c4611de42fae0d6","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/_rejected/HC20260810-001-v01-S10-candidate-a.png","1040404fa0d467d6ccfbaa11aa99c8a8ab499952fdf5a7327520c955b76afbe5","PASS-25pct-contact-sheet","N/A-no-character","N/A-no-locked-hand-object-risk","PASS-copy-contained;subject-overlap-N/A","PASS-25pct-no-obvious-formal-mark;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","PASS-25pct-none-obvious;fullres-final-review-pending","N/A-no-phone","","淘汰版曲线形状近似数据图；入选版为纯品牌结束板","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review"
