original_path,archive_path,bytes,sha256
09_泛健康日更/work/HC20260810-B01-review-index.md,09_泛健康日更/work/HC20260810-B01-task8-qa/archive_v00/external-review-superseded/batch/HC20260810-B01-review-index.md,10182,8defc1102a1b5b17a1d7668df3b3be6f35998cbce0d63c6d766ff8ac739f1fa2
09_泛健康日更/work/HC20260810-B01-task8-qa/build-review-handoffs.py,09_泛健康日更/work/HC20260810-B01-task8-qa/archive_v00/external-review-superseded/tools/build-review-handoffs.py,100507,6d8e4a5433e9de55e0f9bbe725956a8d2b9aa91e1e8e7311c30c0124860469cc
09_泛健康日更/work/HC20260810-B01-task8-qa/probe-review-transaction.py,09_泛健康日更/work/HC20260810-B01-task8-qa/archive_v00/external-review-superseded/tools/probe-review-transaction.py,37085,02179e260142b0287f470ebc910b87ebf0af4c9b88989c939add1cdf21f89256
09_泛健康日更/work/HC20260810-001/production/v01/01_evidence/review-handoff-v01.md,09_泛健康日更/work/HC20260810-B01-task8-qa/archive_v00/external-review-superseded/handoffs/HC20260810-001-review-handoff-v01.md,12541,55ae4fd806668ab34f836266efff16e92d27761fc2cfdba04ee32f3aee0beb9d
09_泛健康日更/work/HC20260810-002/production/v01/01_evidence/review-handoff-v01.md,09_泛健康日更/work/HC20260810-B01-task8-qa/archive_v00/external-review-superseded/handoffs/HC20260810-002-review-handoff-v01.md,12545,82c325a2a85d6ef2d83887b2e38a2daf7b386b36a34e08feefb913cc7cbc85eb
09_泛健康日更/work/HC20260810-003/production/v01/01_evidence/review-handoff-v01.md,09_泛健康日更/work/HC20260810-B01-task8-qa/archive_v00/external-review-superseded/handoffs/HC20260810-003-review-handoff-v01.md,12557,5a0f5fb5d2e8e52c04a13d36c2bc203e26a5da68af446d9bb846e3e46d62bb8a
09_泛健康日更/work/HC20260810-004/production/v01/01_evidence/review-handoff-v01.md,09_泛健康日更/work/HC20260810-B01-task8-qa/archive_v00/external-review-superseded/handoffs/HC20260810-004-review-handoff-v01.md,12575,805d27cf254829ce737ed582e38f0a46d52769e3a33a3922cf840478671488ab
09_泛健康日更/work/HC20260810-005/production/v01/01_evidence/review-handoff-v01.md,09_泛健康日更/work/HC20260810-B01-task8-qa/archive_v00/external-review-superseded/handoffs/HC20260810-005-review-handoff-v01.md,12545,6bf157dbdaa5420befe949a610375f61c1af565a2cfceefdb12ea40621f759d7
09_泛健康日更/work/HC20260810-006/production/v01/01_evidence/review-handoff-v01.md,09_泛健康日更/work/HC20260810-B01-task8-qa/archive_v00/external-review-superseded/handoffs/HC20260810-006-review-handoff-v01.md,12551,0b2d037ea263f0f4e06c7dabd2f3820f187cc025a9c93caa3fdcc492e7a5772f
09_泛健康日更/work/HC20260810-007/production/v01/01_evidence/review-handoff-v01.md,09_泛健康日更/work/HC20260810-B01-task8-qa/archive_v00/external-review-superseded/handoffs/HC20260810-007-review-handoff-v01.md,12551,bcec41cb8ad074a72331fc2da5b18a073eeeb5415c8c9a86252e692fe9ac303c
09_泛健康日更/work/HC20260810-008/production/v01/01_evidence/review-handoff-v01.md,09_泛健康日更/work/HC20260810-B01-task8-qa/archive_v00/external-review-superseded/handoffs/HC20260810-008-review-handoff-v01.md,12557,3e16defd1db24cc25d0198c71e80d3d8718f1d3220b195b5fab8c1e2c012f800
09_泛健康日更/work/HC20260810-009/production/v01/01_evidence/review-handoff-v01.md,09_泛健康日更/work/HC20260810-B01-task8-qa/archive_v00/external-review-superseded/handoffs/HC20260810-009-review-handoff-v01.md,12557,d840237f8ae33c42aa5ce2ea27ad3fdada1760012c84056cf5a31887031137dc
09_泛健康日更/work/HC20260810-010/production/v01/01_evidence/review-handoff-v01.md,09_泛健康日更/work/HC20260810-B01-task8-qa/archive_v00/external-review-superseded/handoffs/HC20260810-010-review-handoff-v01.md,12547,1b7e6b07690fa62cd237e8c7480860e9f8d9933b5d0916f4a2c09967229d2adb
